"protein_id","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3","Axillary_Buds_2h_R1","Axillary_Buds_2h_R2","Axillary_Buds_2h_R3"
"A0A9D5H0W8",10.6506954812804,10.0572781764422,12.0841663640529,11.8707764209432,12.0606934943398,21.6048595405202,21.4453159765208,21.3660615181831,11.1841313424868,11.1841313424868,11.1367652065145
"A0A9D5H0Z2",11.0670669584778,9.75184963549982,12.177739320535,11.899937736023,12.2813991357294,21.1742375570081,21.1439357999337,21.4598089964097,11.0259608015077,11.0259608015077,10.8874153568971
"A0A9D5H100;A0A9D5H161;A0A9D5H164",10.4912806196729,10.1811522568656,11.2958342159579,11.2527294029224,11.8429073655805,17.8118450281453,17.8629399857249,18.076784288225,10.4969321945463,10.4969321945463,10.3954510393602
"A0A9D5H116",8.86727873970966,8.81664308555371,10.5645389798713,9.79603960882977,9.9810653290501,20.2122298942312,18.9620322213095,18.9923762877264,9.49185309632967,9.49185309632967,9.85642552862553
"A0A9D5H124;A0A9D5H1C8",8.92950546635528,8.66395846906265,10.4502725767588,9.75613325728997,10.7320110668949,20.197612494226,20.3709320297639,20.0597207396742,9.71136244245841,9.71136244245841,9.83987720261631
"A0A9D5H125;A4UTS0",10.4064608387994,10.0278292055483,11.9340501336027,11.3027017385344,11.324540958464,18.453632355761,NA,17.9095239739442,10.466734394709,10.466734394709,9.32910225403609
"A0A9D5H130",9.98746763502161,NA,11.3672556237781,10.6008818772453,10.6257624358159,20.6121329117926,20.1949940875604,20.33118495987,9.24477112287589,9.24477112287589,9.79981297684735
"A0A9D5H144",9.83920378809694,8.3264294871223,11.0334230015375,11.0084286220706,11.1680452682241,21.2555496006057,18.8495375823695,19.0585841800456,7.93073733756289,7.93073733756289,NA
"A0A9D5H182",10.2677595099153,9.2301322410324,11.2285286963014,10.863857341707,11.4852170421395,22.6317211595851,22.4243216594748,22.3958655934753,10.4627204230574,10.4627204230574,10.6028379794508
"A0A9D5H185",9.71191205704159,9.31944774811328,11.2450911569204,10.5188520876322,11.0476095597689,20.4465523816674,20.3691787993043,19.721546108402,9.76784286655978,9.76784286655978,9.55409422029777
"A0A9D5H1A0;A0A9D5H1A3",10.7094810229515,9.81259542808246,11.6812633433233,11.1880886656256,11.8204277974318,21.0204183876769,20.8799202979541,20.6106507525095,10.1905822489476,10.1905822489476,9.70475215284431
"A0A9D5H1F4",9.98265322997792,9.50339902984854,11.500547578703,10.8743338106528,11.506377204679,20.1968938345664,20.0737179577847,20.2586973899938,10.0247702959415,10.0247702959415,10.3457556453586
"A0A9D5H1G5",8.94251450533924,NA,NA,NA,10.8856963733394,19.4728535514895,17.4621028177621,19.1529375232824,9.48784003382305,9.48784003382305,9.19967234483636
"A4UTS3",10.1281705805585,10.0389945939051,11.3386488016146,11.1288303075553,10.8831738594113,19.7496754740621,18.8970107270222,18.8844257451562,9.96866679319521,9.96866679319521,10.6555307231556
"A9XMT4",13.9937345010919,12.419696888306,15.1707075013481,NA,NA,23.651266774959,23.4733311880969,23.6070683824451,14.1373914492476,14.1373914492476,13.8429395592851
